"File_name","Method/API","Enums/Constants/Arrays","Description/Usage","Invoking_Syntax","Parameters","Parameter_Dtypes","Parameter_Description","Return_Dtype","Return_Description"
"ADCUnits.h","adcUnits2string",,"Converts ADC sensor unit codes to human-readable strings.","adcUnits2string(units)","units","unsigned","The unit code, should be less than ADC_UNITS_COUNT.","const char*","Human-readable string of the unit."
"ADCUnits.h",,"eADC_UNITS","Enumeration of ADC sensor units.","Not applicable","Not applicable","Not applicable","RAW, VOLTAGE, CURRENT, RESISTANCE, POWER, TEMPERATURE, ADC_UNITS_COUNT.","enum","Represents ADC sensor units."
"ADCUnits.h",,"adc_units_text","Array holding unit suffixes for ADC sensor units.","Not applicable","Not applicable","Not applicable","Empty string for RAW; ""V"" for VOLTAGE; ""A"" for CURRENT; ""Ohm"" for RESISTANCE; ""W"" for POWER; ""C"" for TEMPERATURE.","const char[][]","Human-readable suffixes for units."
"ADF4002.h","SetFrefFvco",,"Sets the reference frequency and VCO frequency parameters.","SetFrefFvco(Fref, Fvco, rcount, ncount)","Fref, Fvco, rcount, ncount","double, double, int &, int &","Frequency values and counts for reference and VCO.","void","Modifies internal configuration settings."
"ADF4002.h","SetReferenceCounterLatch",,"Configures reference counter latch settings.","SetReferenceCounterLatch(Ldp, Abw, refCounter)","Ldp, Abw, refCounter","int, int, int","Settings for loop filter, band selection, and counter configuration.","void","Alters latch settings for reference counting."
"ADF4002.h","SetNCounterLatch",,"Sets the N counter latch parameters.","SetNCounterLatch(CPgain, NCounter)","CPgain, NCounter","int, int","Charge pump gain and counter configuration.","void","Modifies counter latch settings."
"ADF4002.h","SetFunctionLatch",,"Configures function latch settings.","SetFunctionLatch(currentSetting1, currentSetting2, ...)","Various settings","int, etc.","Adjusts current settings, timer counter, fast lock, and muxout control.","void","Modifies function latch parameters."
"ADF4002.h","SetInitializationLatch",,"Sets initialization latch settings.","SetInitializationLatch(currentSetting1, currentSetting2, ...)","Various settings","int, etc.","Configures initialization settings similar to function latch.","void","Sets initial configurations for operation."
"ADF4002.h","GetConfig",,"Retrieves configuration settings into an array.","GetConfig(data)","data","unsigned char[12]","Array to store configuration settings.","void","Outputs configuration data to the provided array."
"ADF4002.h","SetDefaults",,"Restores default settings.","SetDefaults()","None","None","No parameters required.","void","Resets to factory defaults."
"ADF4002.h","MakeData",,"Prepares internal data structures.","MakeData()","None","None","No parameters required.","void","Generates data for configuration purposes."
"ADF4002.h","CalculateRN",,"Performs calculation for reference and N counters.","CalculateRN()","None","None","No parameters required.","void","Computes RN-related values."
"ConnectionHandle.h","ConnectionHandle()",,"Default constructor. Initializes a ConnectionHandle object with default values.","ConnectionHandle()","None","None","No parameters required.","None","Constructs a ConnectionHandle object."
"ConnectionHandle.h","ConnectionHandle(args)",,"Constructor to initialize using a serialized string of key-value pairs.","ConnectionHandle(const std::string &args)","args","std::string","Serialized key-value pairs for initialization.","None","Constructs a ConnectionHandle object from input string."
"ConnectionHandle.h","serialize()",,"Serializes the ConnectionHandle object into a string representation.","serialize()","None","None","No parameters required.","std::string","Returns a string representation of the connection handle."
